nsx,survey_nr,lat,long,data_name,site,date,original_name,cover,cover_code,quad_x,quad_y,rel_dist,month,year
K05689,,-34.4750111050441,140.060176341783,BCM,-2110009959,2013-01-23,Eucalyptus phenax ssp.,,"",20,45,,1,2013
C03717,,-34.4750111050441,140.060176341783,BCM,-2110009959,2013-01-23,Triodia irritans,,"",20,45,,1,2013
Q06164,,-34.4750111050441,140.060176341783,BCM,-2110009959,2013-01-23,Carpobrotus rossii,,"",20,45,,1,2013
K01977,,-34.4750111050441,140.060176341783,BCM,-2110009959,2013-01-23,Geijera linearifolia,,"",20,45,,1,2013
C01241,,-34.4750111050441,140.060176341783,BCM,-2110009959,2013-01-23,Sclerolaena diacantha,,"",20,45,,1,2013
M05882,,-34.4750111050441,140.060176341783,BCM,-2110009959,2013-01-23,Eucalyptus oleosa ssp.,,"",20,45,,1,2013
Y01472,,-34.4750111050441,140.060176341783,BCM,-2110009959,2013-01-23,Sisymbrium irio,,"",20,45,,1,2013
Z04951,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Olearia pimeleoides,,"",30,30,,9,2006
M05882,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Eucalyptus oleosa ssp.,,"",30,30,,9,2006
E02238,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Eucalyptus gracilis,,"",30,30,,9,2006
Q01212,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Maireana trichoptera,,"",30,30,,9,2006
M01202,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Maireana pentatropis,,"",30,30,,9,2006
A00952,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Santalum murrayanum,,"",30,30,,9,2006
S01221,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Rhagodia crassifolia,,"",30,30,,9,2006
S11077,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Eremophila glabra ssp.,,"",30,30,,9,2006
K01977,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Geijera linearifolia,,"",30,30,,9,2006
Z01191,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Maireana erioclada,,"",30,30,,9,2006
A03248,,-34.5142584057011,139.921783794301,BCM,-517716896,2006-09-10,Olearia magniflora,,"",30,30,,9,2006
